H	mean	std	area
0.500	26.661	8.547	0.842
0.500	27.277	7.575	0.669
0.500	30.488	8.529	1.469
0.500	25.479	9.233	0.604
0.500	23.167	7.545	0.147
0.500	28.833	6.465	0.550
0.500	26.231	7.641	0.433
0.500	24.225	7.042	0.268
0.500	25.736	8.224	0.525
0.500	22.907	8.128	0.309
0.500	20.693	7.471	0.130
0.500	26.410	7.813	0.668
0.500	22.573	9.076	0.536
0.500	26.853	6.482	0.283
0.500	21.581	7.172	0.165
0.500	24.130	6.962	0.173
0.500	25.149	7.928	0.425
0.500	27.915	7.551	0.572
0.500	28.931	8.106	0.768
0.500	24.577	7.919	0.297
0.500	23.077	8.005	0.157
0.500	24.819	7.942	0.456
0.500	22.282	7.533	0.203
0.500	25.087	7.703	0.509
0.500	23.864	8.388	0.454
0.500	23.760	7.854	0.329
0.500	24.458	7.543	0.244
0.500	24.036	7.119	0.136
0.500	24.554	6.542	0.126
0.500	26.794	6.886	0.339
0.500	23.567	7.391	0.245
0.500	27.958	7.662	0.678
0.500	24.725	9.153	0.436
0.500	26.265	7.101	0.318
0.500	23.212	8.335	0.575
0.500	24.354	8.267	0.342
0.500	25.236	7.446	0.263
0.500	23.935	8.462	0.537
0.500	25.225	7.805	0.379
0.500	26.645	8.490	0.789
0.500	27.352	7.302	0.497
0.500	18.740	6.857	0.195
0.500	24.170	8.796	0.545
0.500	24.011	7.397	0.359
0.500	23.973	7.995	0.312
0.500	28.310	8.717	0.798
0.500	26.458	9.281	0.927
0.500	26.223	6.871	0.329
